brand,model,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
Toyota,Corona hardtop,4,113.0,95.0,2278.0,15.5,72,Asia,24.0
Toyota,Corolla,4,97.0,75.0,2171.0,16.0,75,Asia,29.0
Toyota,Celica gt,4,144.0,96.0,2665.0,13.9,82,Asia,32.0
Toyota,Mark ii,6,156.0,122.0,2807.0,13.5,73,Asia,20.0
Toyota,Corolla 1600 (sw),4,97.0,88.0,2100.0,16.5,72,Asia,27.0
Toyota,Corolla,4,108.0,75.0,2350.0,16.8,81,Asia,32.4
Toyota,Corolla,4,108.0,70.0,2245.0,16.9,82,Asia,34.0
Toyota,Corona,4,134.0,96.0,2702.0,13.5,75,Asia,24.0
Toyota,Cressida,6,168.0,116.0,2900.0,12.6,81,Asia,25.4
Toyota,Corona,4,76.0,52.0,1649.0,16.5,74,Asia,31.0
Toyota,Celica gt liftback,4,134.0,95.0,2515.0,14.8,78,Asia,21.1
Triumph,Tr7 coupe,4,122.0,88.0,2500.0,15.1,80,Europe,35.0
Volkswagen,Rabbit,4,97.0,71.0,1825.0,12.2,76,Europe,29.5
Volkswagen,Model 111,4,97.0,60.0,1834.0,19.0,71,Europe,27.0
Volkswagen,411 (sw),4,121.0,76.0,2511.0,18.0,72,Europe,22.0
Volkswagen,Rabbit,4,98.0,76.0,2144.0,14.7,80,Europe,41.5
Volkswagen,Pickup,4,97.0,52.0,2130.0,24.6,82,Europe,44.0
Volkswagen,Rabbit custom,4,89.0,71.0,1925.0,14.0,79,Europe,31.9
Volkswagen,Rabbit c (diesel),4,90.0,48.0,2085.0,21.7,80,Europe,44.3
Volkswagen,Rabbit l,4,105.0,74.0,1980.0,15.3,82,Europe,36.0
Volkswagen,Type 3,4,97.0,54.0,2254.0,23.5,72,Europe,23.0
Volkswagen,Rabbit custom,4,97.0,78.0,1940.0,14.5,77,Europe,29.0
Volkswagen,Dasher,4,79.0,67.0,1963.0,15.5,74,Europe,26.0
Volkswagen,Rabbit,4,90.0,70.0,1937.0,14.0,75,Europe,29.0
Volkswagen,Dasher (diesel),4,90.0,48.0,2335.0,23.7,80,Europe,43.4
Volkswagen,Rabbit,4,89.0,62.0,1845.0,15.3,80,Europe,29.8
Volkswagen,Scirocco,4,89.0,71.0,1990.0,14.9,78,Europe,31.5
Volkswagen,Jetta,4,105.0,74.0,2190.0,14.2,81,Europe,33.0
Volkswagen,Dasher,4,90.0,71.0,2223.0,16.5,75,Europe,25.0
Volkswagen,Rabbit,4,90.0,70.0,1937.0,14.2,76,Europe,29.0
Volkswagen,Super beetle,4,97.0,46.0,1950.0,21.0,73,Europe,26.0
Volkswagen,1131 deluxe sedan,4,97.0,46.0,1835.0,20.5,70,Europe,26.0
Volkswagen,Rabbit custom diesel,4,90.0,48.0,1985.0,21.5,78,Europe,43.1
Volkswagen,Dasher,4,97.0,78.0,2190.0,14.1,77,Europe,30.5
Volvo,144ea,4,121.0,112.0,2868.0,15.5,73,Europe,19.0
Volvo,Diesel,6,145.0,76.0,3160.0,19.6,81,Europe,30.7
Volvo,145e (sw),4,121.0,112.0,2933.0,14.5,72,Europe,18.0
Volvo,245,4,130.0,102.0,3150.0,15.7,76,Europe,20.0
Volvo,244dl,4,121.0,98.0,2945.0,14.5,75,Europe,22.0
Volvo,264gl,6,163.0,125.0,3140.0,13.6,78,Europe,17.0
